match_id,date,home_team,away_team,home_goals,away_goals,target,p_draw,p_home,p_away,predicted_class,correct,predicted_winner,actual_winner,year,match_type,brier,rps
1983,2018-06-22,Serbia,Switzerland,1.0,2.0,2,0.24939887000163044,0.26020654256903003,0.49039458742933945,2,1,Switzerland,Switzerland,2018,group,0.38960491767513183,0.16370256065852076
1984,2018-06-23,Belgium,Tunisia,5.0,2.0,1,0.2404277962520618,0.6976803428856241,0.061891860862314275,1,1,Belgium,Belgium,2018,group,0.15303330272937682,0.04761388875937694
1985,2018-06-23,South Korea,Mexico,1.0,2.0,2,0.2538043336601348,0.2967840089193355,0.4494116574205298,2,1,Mexico,Mexico,2018,group,0.4556449107193053,0.19561413546732012
1986,2018-06-23,Germany,Sweden,2.0,1.0,1,0.28286713973023814,0.6105453627275796,0.10658749754218225,1,1,Germany,Germany,2018,group,0.24304962786446327,0.0815179045626486
1987,2018-06-24,England,Panama,6.0,1.0,1,0.2131053028019395,0.7501832031382278,0.03671149405983266,1,1,England,England,2018,group,0.10917003587268741,0.031878082895190535
1988,2018-06-24,Japan,Senegal,2.0,2.0,0,0.28689973856570317,0.35856735039957,0.35453291103472695,1,0,Japan,draw,2018,group,0.7627761126369882,0.12713206488966278
1989,2018-06-24,Poland,Colombia,0.0,3.0,2,0.2909419705685388,0.5405375718750629,0.16852045755639827,1,0,Poland,Colombia,2018,group,1.0681863263491145,0.49176954805540496
1993,2018-06-25,Spain,Morocco,2.0,2.0,0,0.25176799437123604,0.6723961003971175,0.0758359052316464,1,0,Spain,draw,2018,group,1.0177187345987961,0.22893380017577689
1990,2018-06-25,Iran,Portugal,1.0,1.0,0,0.25809212302957035,0.20308941373065925,0.5388184632397706,2,0,Portugal,draw,2018,group,0.8819979442083011,0.16578532314876532
1991,2018-06-25,Russia,Uruguay,0.0,3.0,2,0.2920848663601926,0.4802186943427121,0.22769643929709527,1,0,Russia,Uruguay,2018,group,0.912376353427256,0.41353139213530216
1992,2018-06-25,Saudi Arabia,Egypt,2.0,1.0,1,0.2837177554033946,0.38036134596498716,0.3359208986316184,1,1,Saudi Arabia,Saudi Arabia,2018,group,0.5772906764429369,0.24839745585589812
1997,2018-06-26,Denmark,France,0.0,0.0,0,0.31092198950537786,0.3148139988095604,0.3742640116850617,2,0,France,draw,2018,group,0.7140099088362885,0.11959070214453096
1996,2018-06-26,Australia,Peru,0.0,2.0,2,0.2773237236173719,0.341147168010667,0.3815291083719609,2,1,Peru,Peru,2018,group,0.5757960817138843,0.24944381701643986
1994,2018-06-26,Iceland,Croatia,1.0,2.0,2,0.3069662137849538,0.2167866441889862,0.47624714202606,2,1,Croatia,Croatia,2018,group,0.41554176174006224,0.16065675266729612
1995,2018-06-26,Nigeria,Argentina,1.0,2.0,2,0.27225338749385414,0.2161001496808399,0.5116464628253059,2,1,Argentina,Argentina,2018,group,0.3593103589649954,0.14259422598155835
1998,2018-06-27,South Korea,Germany,2.0,0.0,1,0.19121485445222822,0.003986038753622485,0.8047991067941495,2,0,Germany,South Korea,2018,group,1.676308533857548,0.8198727066471805
1999,2018-06-27,Mexico,Sweden,0.0,3.0,2,0.24020372605268422,0.37649698464973785,0.38329928929757795,2,1,Sweden,Sweden,2018,group,0.5797675760408104,0.2610348730156087
2000,2018-06-27,Serbia,Brazil,0.0,2.0,2,0.36393559259404373,0.1580439277048574,0.47802047970109884,2,1,Brazil,Brazil,2018,group,0.4298896182526269,0.14872025134792458
2001,2018-06-27,Switzerland,Costa Rica,2.0,2.0,0,0.1767756951194841,0.6901426503034388,0.13308165457707716,1,0,Switzerland,draw,2018,group,1.1717058606988358,0.24700380227641355
2002,2018-06-28,Japan,Poland,0.0,1.0,2,0.28399564185414544,0.2529367492252914,0.46306760892056315,2,1,Poland,Poland,2018,group,0.43292691629108726,0.17613669584946962
2003,2018-06-28,Senegal,Colombia,0.0,1.0,2,0.3077859952396526,0.33307786915681015,0.35913613560353713,2,1,Colombia,Colombia,2018,group,0.6163795784768724,0.2608236798056045
2004,2018-06-28,Panama,Tunisia,1.0,2.0,2,0.2132083473155183,0.2988633319717505,0.4879283207127312,2,1,Tunisia,Tunisia,2018,group,0.3969944952903549,0.1757683479626701
2005,2018-06-28,England,Belgium,0.0,1.0,2,0.31007297209422446,0.23283905181864661,0.4570879760871288,2,1,Belgium,Belgium,2018,group,0.4451127377843221,0.17448374488048815
2006,2018-06-30,France,Argentina,4.0,3.0,1,0.2853676435522937,0.42454635948924135,0.2900859969584649,1,1,France,France,2018,knockout,0.4967314699950609,0.207648389004236
2007,2018-06-30,Uruguay,Portugal,2.0,1.0,1,0.2759907570994407,0.29808597276440235,0.42592327013615705,2,0,Portugal,Uruguay,2018,knockout,0.7502648316778957,0.33704696683678653
2008,2018-07-01,Russia,Spain,1.0,1.0,0,0.3124877393864034,0.17421499622359715,0.5132972643899993,2,0,Spain,draw,2018,knockout,0.7664980550334628,0.14691247326972248
2009,2018-07-01,Croatia,Denmark,1.0,1.0,0,0.2565878584021606,0.44229880794237586,0.3011133336554635,1,0,Croatia,draw,2018,knockout,0.8389590874874393,0.1431487376061766
