match_id,team,elo_pre,elo_post,tournament_type
6152,Belize,1552.19,1555.49,CONCACAF Nations League
6153,Guadeloupe,1740.88,1735.32,CONCACAF Nations League
6153,Cayman Islands,1398.43,1395.99,CONCACAF Nations League
6154,Guyana,1667.02,1673.09,CONCACAF Nations League
6154,Barbados,1503.65,1498.04,CONCACAF Nations League
6155,Canada,1878.41,1890.59,CONCACAF Nations League
6155,Suriname,1736.78,1730.65,CONCACAF Nations League
6140,Chile,1619.06,1638.77,FIFA World Cup qualification
6140,Venezuela,1649.15,1632.85,FIFA World Cup qualification
6157,Bolivia,1598.04,1600.09,FIFA World Cup qualification
6157,Paraguay,1645.87,1643.82,FIFA World Cup qualification
6158,Colombia,1804.01,1786.86,FIFA World Cup qualification
6158,Ecuador,1753.75,1761.23,FIFA World Cup qualification
6159,Argentina,1941.27,1934.37,FIFA World Cup qualification
6159,Peru,1650.1,1645.37,FIFA World Cup qualification
6150,Antigua and Barbuda,1477.06,1476.83,CONCACAF Nations League
6150,Dominica,1469.23,1469.45,CONCACAF Nations League
6139,Senegal,1769.46,1772.01,African Cup of Nations qualification
6139,Burundi,1438.72,1434.83,African Cup of Nations qualification
6160,Brazil,1940.24,1935.35,FIFA World Cup qualification
6160,Uruguay,1822.6,1827.49,FIFA World Cup qualification
6137,Ivory Coast,1649.89,1665.12,African Cup of Nations qualification
6137,Chad,1300.98,1297.43,African Cup of Nations qualification
6118,Egypt,1710.49,1699.37,African Cup of Nations qualification
6118,Botswana,1378.96,1390.09,African Cup of Nations qualification
6119,United Arab Emirates,1739.26,1778.44,FIFA World Cup qualification
6119,Qatar,1745.46,1730.2,FIFA World Cup qualification
6120,Palestine,1701.29,1709.44,FIFA World Cup qualification
6120,South Korea,1912.99,1904.84,FIFA World Cup qualification
6121,Oman,1689.3,1675.98,FIFA World Cup qualification
6121,Iraq,1728.28,1732.77,FIFA World Cup qualification
6122,Kuwait,1573.67,1583.02,FIFA World Cup qualification
6122,Jordan,1827.6,1818.25,FIFA World Cup qualification
6123,Bahrain,1643.41,1652.57,FIFA World Cup qualification
6123,Australia,1889.9,1880.74,FIFA World Cup qualification
6124,Indonesia,1589.47,1618.5,FIFA World Cup qualification
6124,Saudi Arabia,1789.19,1766.41,FIFA World Cup qualification
6125,China,1637.47,1635.78,FIFA World Cup qualification
6125,Japan,2126.95,2141.03,FIFA World Cup qualification
6126,Mauritania,1420.55,1430.64,African Cup of Nations qualification
6126,Cape Verde,1503.01,1484.52,African Cup of Nations qualification
6127,Cameroon,1654.72,1652.03,African Cup of Nations qualification
6127,Zimbabwe,1480.24,1472.2,African Cup of Nations qualification
6128,Sierra Leone,1406.36,1395.71,African Cup of Nations qualification
6128,Zambia,1510.16,1525.4,African Cup of Nations qualification
6129,DR Congo,1587.06,1563.41,African Cup of Nations qualification
6129,Ethiopia,1358.67,1371.16,African Cup of Nations qualification
6130,Tanzania,1449.23,1457.33,African Cup of Nations qualification
6130,Guinea,1493.06,1476.18,African Cup of Nations qualification
6131,Mali,1621.81,1648.32,African Cup of Nations qualification
6131,Eswatini,1335.85,1331.0,African Cup of Nations qualification
6132,Guinea-Bissau,1454.46,1439.82,African Cup of Nations qualification
6132,Mozambique,1462.85,1468.37,African Cup of Nations qualification
6133,Kyrgyzstan,1567.06,1563.33,FIFA World Cup qualification
6133,Iran,1906.18,1904.5,FIFA World Cup qualification
6134,Kenya,1483.1,1481.09,African Cup of Nations qualification
6134,Namibia,1436.29,1438.3,African Cup of Nations qualification
6135,South Africa,1619.44,1629.24,African Cup of Nations qualification
6135,South Sudan,1281.56,1277.81,African Cup of Nations qualification
6136,Congo,1383.69,1372.69,African Cup of Nations qualification
6136,Uganda,1478.74,1481.47,African Cup of Nations qualification
6138,North Korea,1573.08,1565.3,FIFA World Cup qualification
6138,Uzbekistan,1755.57,1756.02,FIFA World Cup qualification
6161,Hong Kong,1427.5,1450.33,EAFF Championship qualification
6161,Mongolia,1365.93,1353.56,EAFF Championship qualification
6162,Taiwan,1267.01,1305.93,EAFF Championship qualification
6162,Mongolia,1353.56,1334.9,EAFF Championship qualification
6163,Macau,1229.9,1199.71,EAFF Championship qualification
6163,Guam,1227.67,1233.54,EAFF Championship qualification
6164,Hong Kong,1450.33,1448.95,EAFF Championship qualification
6164,Taiwan,1305.93,1296.83,EAFF Championship qualification
6165,Hong Kong,1448.95,1474.64,EAFF Championship qualification
6165,Guam,1233.54,1226.8,EAFF Championship qualification
6166,Eswatini,1331.0,1341.92,FIFA World Cup qualification
6166,Cameroon,1652.03,1641.11,FIFA World Cup qualification
6167,Liberia,1416.7,1409.69,FIFA World Cup qualification
6167,Tunisia,1623.19,1623.15,FIFA World Cup qualification
6168,Central African Republic,1375.14,1361.2,FIFA World Cup qualification
6168,Madagascar,1399.89,1425.89,FIFA World Cup qualification
6189,Iran,1904.5,1915.46,FIFA World Cup qualification
6189,United Arab Emirates,1778.44,1768.65,FIFA World Cup qualification
6190,Croatia,1917.28,1936.69,UEFA Nations League
6190,France,2118.69,2103.46,UEFA Nations League
6191,Denmark,1894.72,1905.82,UEFA Nations League
6191,Portugal,2118.14,2102.47,UEFA Nations League
6192,Italy,2004.46,1998.67,UEFA Nations League
6192,Germany,2160.36,2161.07,UEFA Nations League
6193,Netherlands,2056.57,2059.23,UEFA Nations League
6193,Spain,2151.2,2148.54,UEFA Nations League
6203,Greece,1819.04,1809.81,UEFA Nations League
6203,Scotland,1845.83,1849.1,UEFA Nations League
6194,Austria,1857.91,1856.63,UEFA Nations League
6194,Serbia,1813.46,1814.74,UEFA Nations League
6197,Armenia,1545.57,1539.97,UEFA Nations League
6197,Georgia,1709.44,1725.0,UEFA Nations League
6196,Turkey,1851.63,1862.4,UEFA Nations League
6196,Hungary,1820.32,1811.22,UEFA Nations League
6188,Canada,1890.59,1879.86,CONCACAF Nations League
6188,Mexico,1865.24,1877.69,CONCACAF Nations League
6198,Bulgaria,1552.79,1546.71,UEFA Nations League
6198,Republic of Ireland,1696.67,1697.59,UEFA Nations League
6199,Kosovo,1621.11,1627.51,UEFA Nations League
6199,Iceland,1693.95,1681.88,UEFA Nations League
6200,Slovakia,1740.62,1741.22,UEFA Nations League
6200,Slovenia,1761.46,1760.86,UEFA Nations League
6201,Paraguay,1643.82,1649.35,FIFA World Cup qualification
6201,Chile,1638.77,1623.99,FIFA World Cup qualification
6202,Peru,1645.37,1660.72,FIFA World Cup qualification
6202,Bolivia,1600.09,1587.04,FIFA World Cup qualification
6195,United States,1957.17,1943.71,CONCACAF Nations League
6195,Panama,1831.96,1838.53,CONCACAF Nations League
6187,Brazil,1935.35,1933.78,FIFA World Cup qualification
6187,Colombia,1786.86,1777.9,FIFA World Cup qualification
6178,Qatar,1730.2,1753.48,FIFA World Cup qualification
6178,North Korea,1565.3,1556.93,FIFA World Cup qualification
6185,Uzbekistan,1756.02,1752.58,FIFA World Cup qualification
6185,Kyrgyzstan,1563.33,1555.89,FIFA World Cup qualification
6169,South Korea,1904.84,1896.18,FIFA World Cup qualification
6169,Oman,1675.98,1684.64,FIFA World Cup qualification
6186,Ukraine,1817.02,1838.71,UEFA Nations League
6186,Belgium,2091.67,2075.08,UEFA Nations League
6171,Jordan,1818.25,1830.1,FIFA World Cup qualification
6171,Palestine,1709.44,1698.99,FIFA World Cup qualification
6172,Japan,2141.03,2139.7,FIFA World Cup qualification
6172,Bahrain,1652.57,1650.87,FIFA World Cup qualification
6173,Australia,1880.74,1899.31,FIFA World Cup qualification
6173,Indonesia,1618.5,1613.07,FIFA World Cup qualification
6174,Comoros,1461.4,1453.78,FIFA World Cup qualification
6174,Mali,1648.32,1671.4,FIFA World Cup qualification
6175,Saudi Arabia,1766.41,1765.65,FIFA World Cup qualification
6175,China,1635.78,1626.17,FIFA World Cup qualification
6170,Iraq,1732.77,1726.68,FIFA World Cup qualification
6170,Kuwait,1583.02,1589.11,FIFA World Cup qualification
6177,Zimbabwe,1472.2,1471.48,FIFA World Cup qualification
6177,Benin,1455.56,1456.27,FIFA World Cup qualification
6179,Libya,1392.79,1397.82,FIFA World Cup qualification
6179,Angola,1513.97,1508.94,FIFA World Cup qualification
6180,Gambia,1416.95,1419.69,FIFA World Cup qualification
6180,Kenya,1481.09,1478.36,FIFA World Cup qualification
6181,Gabon,1492.03,1504.63,FIFA World Cup qualification
6181,Seychelles,1230.04,1224.6,FIFA World Cup qualification
6182,Mozambique,1468.37,1487.09,FIFA World Cup qualification
6182,Uganda,1481.47,1465.91,FIFA World Cup qualification
6183,Malawi,1406.48,1392.85,FIFA World Cup qualification
6183,Namibia,1438.3,1443.03,FIFA World Cup qualification
6184,Sierra Leone,1395.71,1416.24,FIFA World Cup qualification
6184,Guinea-Bissau,1439.82,1422.93,FIFA World Cup qualification
6176,Cape Verde,1484.52,1479.95,FIFA World Cup qualification
6176,Mauritius,1262.74,1256.2,FIFA World Cup qualification
6220,Guyana,1673.09,1688.82,Gold Cup qualification
6220,Guatemala,1874.69,1851.85,Gold Cup qualification
6221,Bermuda,1609.42,1599.29,Gold Cup qualification
6221,Honduras,1726.37,1741.31,Gold Cup qualification
6222,Saint Vincent and the Grenadines,1496.29,1505.2,Gold Cup qualification
6222,Jamaica,1733.82,1724.91,Gold Cup qualification
6223,Suriname,1730.65,1733.28,Gold Cup qualification
6223,Martinique,1669.83,1657.43,Gold Cup qualification
6224,Guadeloupe,1735.32,1744.0,Gold Cup qualification
6224,Nicaragua,1790.17,1772.82,Gold Cup qualification
6229,New Caledonia,1390.1,1449.67,FIFA World Cup qualification
6229,Tahiti,1441.46,1424.26,FIFA World Cup qualification
6226,Ecuador,1761.23,1760.58,FIFA World Cup qualification
6226,Venezuela,1632.85,1623.16,FIFA World Cup qualification
6228,Uruguay,1827.49,1816.97,FIFA World Cup qualification
6228,Argentina,1934.37,1936.75,FIFA World Cup qualification
6230,New Zealand,1774.63,1800.77,FIFA World Cup qualification
6230,Fiji,1392.38,1389.39,FIFA World Cup qualification
6231,Burkina Faso,1591.69,1601.82,FIFA World Cup qualification
6231,Djibouti,1263.32,1259.38,FIFA World Cup qualification
6219,Belize,1555.49,1550.01,Gold Cup qualification
6219,Costa Rica,1815.75,1861.98,Gold Cup qualification
6225,DR Congo,1563.41,1556.68,FIFA World Cup qualification
6225,South Sudan,1277.81,1272.95,FIFA World Cup qualification
6218,Ethiopia,1371.16,1367.22,FIFA World Cup qualification
6218,Egypt,1699.37,1712.05,FIFA World Cup qualification
6227,Cuba,1616.29,1605.6,Gold Cup qualification
6227,Trinidad and Tobago,1718.85,1721.36,Gold Cup qualification
